dataset,model,rmse,mae,r2,mape
consum_usa,XGBoost,344.58537311368747,251.14917703472605,0.9971821722236952,0.8064836082101914
consum_usa,RandomForest,494.90630872824687,364.52767058534,0.9941874493762944,1.1826325158753432
consum_usa,LinearRegression,514.8328241407053,382.54979609140054,0.9937099626360565,1.22219120774752
consum_usa,XGBoost_tuned,852.2188512680017,666.5024328304721,0.9827645335334716,2.2064526963375495
consum_usa,LSTM,12309.839520315116,11587.755769104517,-15.080481907670517,46.23831071305132
consum_usa,Prophet,3839830.092293777,3691335.7335511064,-349899.6780545672,12322.35940767874
